"tilltalsnamn","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Elvin",36,41,39,51,56,71,106,129,167,164,161
"Elwin",..,..,..,14,16,15,25,26,34,36,32
"Elvis",39,48,39,54,68,63,73,69,48,51,40
"Emanuel",70,75,83,80,84,84,80,66,89,85,64
"Emilian",..,..,..,..,..,..,..,..,..,..,10
"Emilio",42,42,68,69,65,77,66,78,98,104,95
"Emil",1018,941,899,836,768,701,727,696,633,565,502
"Emin",17,16,28,19,13,27,23,25,25,21,34
"Emir",12,18,20,13,20,30,33,43,47,51,56
"Emmanuel",..,..,..,..,..,..,11,12,12,..,19
"Emmett",..,..,..,..,..,..,..,10,10,10,11
"Emre",23,..,13,11,..,15,23,11,10,15,..
"Emrik",24,26,31,20,26,21,24,20,22,15,15
"Enar",..,..,..,..,..,11,..,..,..,10,..
"Enes",12,11,17,13,16,13,20,18,21,24,26
"Ensar",..,..,10,..,..,..,..,11,14,10,11
"Enzo",..,12,19,28,25,24,34,37,29,33,35
"Eren",..,..,10,..,12,..,13,..,..,10,13
"Eric",192,193,155,172,159,155,124,134,145,102,66
"Erik",836,707,717,684,628,570,613,508,463,408,382
"Erion",..,..,..,..,..,10,17,14,..,..,..
"Erjon",..,..,10,..,..,..,..,..,..,..,..
"Erland",..,..,..,..,..,..,..,..,..,10,..
"Ernst ",..,..,..,..,..,..,12,..,..,..,..
"Eskil",44,47,37,52,77,61,88,76,66,74,65
"Ethan ",..,..,..,..,..,15,11,15,..,12,13
"Evan",..,..,..,..,..,..,10,13,..,..,11
"Evert ",..,..,..,..,12,..,..,..,..,..,..
"Eyvind",..,..,..,..,..,..,10,..,..,13,..
"Fabian",206,198,169,165,189,142,136,159,101,98,74
"Felipe",..,..,12,..,..,..,..,..,..,..,..
"Felix",491,488,505,464,423,390,366,315,347,297,288
"Filiph",..,..,..,..,..,..,..,..,..,..,..
"Filip",809,744,704,627,549,497,472,423,444,423,367
"Finn ",11,..,..,..,14,..,12,14,23,21,24
"Florian ",..,..,..,10,10,..,11,..,15,10,18
"Folke",14,18,42,34,57,71,63,81,97,103,121
"Francis",..,..,..,..,..,..,..,..,..,..,10
"Franklin",..,..,..,..,..,..,..,..,..,10,..
"Frank",21,30,43,50,73,96,154,182,177,214,232
"Frans",30,33,70,74,56,68,75,83,88,129,121
"Franz ",..,..,..,..,15,10,..,10,..,..,..
"Freddie",..,13,10,..,17,..,..,..,..,12,..
"Freddy",..,10,..,..,..,..,11,..,..,..,..
"Fred",15,30,34,36,30,46,56,50,80,70,88
"Fredric",..,..,..,..,..,..,..,..,..,..,..
"Fredrik",130,107,103,63,54,38,42,37,33,28,20
"Frej",..,12,12,13,16,13,15,21,27,30,39
"Frode ",10,..,..,12,..,14,21,10,..,..,13
"Gabriel",384,375,353,317,391,399,375,341,322,347,359
"George",21,16,17,13,17,11,15,..,21,22,17
"Georg",12,..,..,13,10,..,13,12,19,11,..
"Gideon ",..,..,..,..,13,10,10,10,11,..,..
"Gillis",..,..,..,..,..,..,..,11,16,..,16
"Gordon",12,..,..,..,10,..,..,..,..,..,..
"Gottfrid",..,15,..,..,..,..,10,13,15,12,15
"Grim ",..,..,..,12,..,..,14,12,13,20,12
"Gunnar",12,14,21,21,27,32,33,30,23,55,70
"Gustaf",158,118,90,110,94,67,84,75,73,57,63
"Gustav",676,614,579,631,579,527,532,449,462,455,417
"Gusten ",..,..,..,..,13,10,18,19,21,20,13
"Gösta ",..,..,..,..,17,17,28,14,25,16,22
"Hadi",..,19,19,18,20,23,11,19,12,14,..
"Haidar",..,..,..,..,..,..,..,..,11,..,..
"Hampus",484,411,426,337,315,288,245,209,208,154,141
"Hamza",22,19,40,33,34,52,52,50,46,44,64
"Hanad",..,..,..,..,..,..,..,11,..,..,..
"Hannes",222,228,248,233,172,165,162,157,139,112,129
"Hans",..,..,..,..,..,..,..,..,10,..,..
"Harald",37,35,31,44,39,32,51,30,34,41,37
"Haris",10,13,14,12,10,..,11,..,12,..,12
"Harley",..,..,..,..,..,..,..,..,13,12,19
"Harry",42,48,64,92,125,156,209,246,274,272,379
"Harun",..,12,..,..,..,11,..,11,..,13,11
"Hasan",..,..,..,12,10,10,..,..,12,11,11
"Hassan",30,24,38,35,27,46,34,44,40,36,46
"Hector ",10,19,13,17,23,24,23,20,31,22,34
"Hektor",..,12,12,10,11,..,10,15,14,10,17
