"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Egon",14,12,19,20,19,28,17,15,21,25
"Einar",32,37,46,58,60,74,60,56,72,71
"Eldin",..,..,11,..,10,10,..,..,..,12
"Eliah",..,11,..,..,12,14,17,15,13,13
"Elia ",..,10,..,..,13,18,12,11,22,12
"Elian ",..,..,12,13,17,12,11,13,18,20
"Elias",983,1035,1036,947,994,875,817,753,658,698
"Eliaz",..,10,..,..,17,..,13,..,11,..
"Elijah ",..,..,..,..,..,12,12,18,16,12
"Eli",..,..,..,..,12,17,19,..,29,22
"Elion ",..,..,..,10,12,16,..,16,25,16
"Eliot ",..,..,..,16,15,17,16,..,18,11
"Elis",111,149,156,159,157,175,172,192,178,196
"Ellion",..,..,..,..,..,..,..,..,..,13
"Ellioth ",..,..,11,..,..,..,..,11,..,..
"Elliot",405,441,427,386,400,426,411,402,407,476
"Elliott",39,36,40,33,50,47,54,53,67,63
"Ellis ",..,..,..,..,12,..,..,21,10,20
"Elmer",19,35,50,52,64,71,76,88,69,83
"Elmin",..,..,..,..,..,..,..,11,..,..
"Elof",..,..,10,..,13,13,..,10,12,14
"Elton",37,72,88,111,147,182,182,226,203,229
"Elvin",41,39,51,56,71,106,129,167,164,161
"Elwin",..,..,14,16,15,25,26,34,36,32
"Elvis",48,39,54,68,63,73,69,48,51,40
"Emanuel",75,83,80,84,84,80,66,89,85,64
"Emilian",..,..,..,..,..,..,..,..,..,10
"Emilio",42,68,69,65,77,66,78,98,104,95
"Emil",941,899,836,768,701,727,696,633,565,502
"Emin",16,28,19,13,27,23,25,25,21,34
"Emir",18,20,13,20,30,33,43,47,51,56
"Emmanuel",..,..,..,..,..,11,12,12,..,19
"Emmett",..,..,..,..,..,..,10,10,10,11
"Emre",..,13,11,..,15,23,11,10,15,..
"Emrik",26,31,20,26,21,24,20,22,15,15
"Enar",..,..,..,..,11,..,..,..,10,..
"Enes",11,17,13,16,13,20,18,21,24,26
"Ensar",..,10,..,..,..,..,11,14,10,11
"Enzo",12,19,28,25,24,34,37,29,33,35
"Eren",..,10,..,12,..,13,..,..,10,13
"Eric",193,155,172,159,155,124,134,145,102,66
"Erik",707,717,684,628,570,613,508,463,408,382
"Erion",..,..,..,..,10,17,14,..,..,..
"Erjon",..,10,..,..,..,..,..,..,..,..
"Erland",..,..,..,..,..,..,..,..,10,..
"Ernst ",..,..,..,..,..,12,..,..,..,..
"Eskil",47,37,52,77,61,88,76,66,74,65
"Ethan ",..,..,..,..,15,11,15,..,12,13
"Evan",..,..,..,..,..,10,13,..,..,11
"Evert ",..,..,..,12,..,..,..,..,..,..
"Eyvind",..,..,..,..,..,10,..,..,13,..
"Fabian",198,169,165,189,142,136,159,101,98,74
"Felipe",..,12,..,..,..,..,..,..,..,..
"Felix",488,505,464,423,390,366,315,347,297,288
"Filiph",..,..,..,..,..,..,..,..,..,..
"Filip",744,704,627,549,497,472,423,444,423,367
"Finn ",..,..,..,14,..,12,14,23,21,24
"Florian ",..,..,10,10,..,11,..,15,10,18
"Folke",18,42,34,57,71,63,81,97,103,121
"Francis",..,..,..,..,..,..,..,..,..,10
"Franklin",..,..,..,..,..,..,..,..,10,..
"Frank",30,43,50,73,96,154,182,177,214,232
"Frans",33,70,74,56,68,75,83,88,129,121
"Franz ",..,..,..,15,10,..,10,..,..,..
"Freddie",13,10,..,17,..,..,..,..,12,..
"Freddy",10,..,..,..,..,11,..,..,..,..
"Fred",30,34,36,30,46,56,50,80,70,88
